Site,Horizon,Longitude,Latitude,Depth_upper,Depth_lower,Ca,Mg,Fe,Mn,P,Zn,S,As,Cu,Pb,Ba,Be,Ce,Co,Cr,Ga,Gd,Ge,Hf,La,Mo,Nd,Sc,Sr,Th,V,Y
616-02-101,B-horizon,115.7933,-31.9059,170,190,78369,3054,25928,335,157,2.41,14208,7.31,1.39,2.06,83.02,0.126,6.11,1.75,15.9,6.84,NA,NA,NA,2.61,0.95,1.82,0.51,96.49,1.84,24.46,1.83
616-02-101,E-horizon,115.7933,-31.9059,440,450,114,31,937,8,4,NA,424,0.49,0.05,0.48,6.17,0.004,3.37,0.09,2.02,0.5,0.12,NA,NA,1.78,0.04,1.2,0.05,0.62,0.95,1.63,0.3
616-02-105,A2-horizon,115.8234,-31.8802,75,100,2947,229,5605,11,86,NA,293,16.48,2.2,3.1,17.71,0.537,6.75,5.49,20.51,3.15,0.47,NA,0.01,2.67,0.29,2.31,0.5,9.2,1.37,33.64,7.37
616-02-105,Peaty,115.8234,-31.8802,300,325,10479,1216,54503,50,72,0.03,57717,417.92,1.34,1.33,25.9,4.05,8.23,1.9,36.5,8.68,NA,NA,NA,4.3,2.17,5.41,0.38,13.66,1.09,416,30.2
616-02-105,B-horizon,115.8234,-31.8802,425,450,478,51,1585,4,5,NA,1053,8.01,0.19,1.02,10.64,1.024,4.62,5.28,11.91,0.51,0.71,NA,0.01,2.57,0.07,2.41,0.24,1.66,0.9,1.17,10.85
616-02-105,E-horizon,115.8234,-31.8802,575,600,47,9,207,6,4,NA,11,0.27,0.05,0.85,5.1,0.06,2.54,0.17,1.71,0.02,0.14,NA,0.01,1.38,0.01,0.9,0.04,0.3,0.65,1.08,1.54
616-02-106,A2-horizon,115.8136,-31.8798,25,50,391,129,4377,7,132,NA,693,20.39,1.12,446,28.26,0.01,2.4,0.09,4.72,0.77,NA,NA,NA,1.26,0.19,0.88,0.17,5.59,0.72,2.52,0.49
616-02-106,E-horizon,115.8136,-31.8798,425,450,37,15,968,12,4,NA,488,5.08,0.04,1.32,2.9,NA,4.3,0.41,3.61,0.36,0.13,NA,0.01,2.55,0.02,1.57,0.09,0.39,1.41,0.57,0.38
616-02-110,B-horizon,115.79,-31.8741,420,NA,51235,657,6985,13,58,NA,5941,6.4,0.34,1.92,11.16,0.07,48.28,1.17,17.69,1.83,2.05,NA,NA,13.71,0.27,15.66,0.86,24.07,2.88,2.91,15.57
616-02-112,B-horizon,115.7584,-31.8548,25,50,249900,11138,203,76,111,NA,1276,1.93,0.43,NA,291.63,0.03,0.49,0.25,0.7,NA,0.05,NA,NA,0.52,0.34,NA,NA,1548.52,0.01,NA,0.13
616-02-112,B-horizon,115.7584,-31.8548,125,150,241411,9636,234,116,91,NA,1364,1.36,0.44,NA,447.8,0.032,0.54,0.39,0.95,NA,0.02,NA,NA,0.51,0.45,0.03,NA,1633.83,0.04,NA,0.14
616-02-112,Peaty,115.7584,-31.8548,250,275,7622,4950,4198,58,67,NA,12948,34.89,1.45,NA,20.38,0.011,0.41,0.29,1.21,NA,NA,NA,0.03,0.28,1.58,0.05,0.05,56.69,0.1,0.41,0.17
616-02-112,B-horizon,115.7584,-31.8548,350,375,29271,1104,9625,353,102,NA,4812,5.71,1.32,3.21,48.71,0.185,14.17,1.28,29.63,7.91,0.51,NA,NA,7.08,0.64,4.88,1.11,292.06,2.5,13.63,4.66
616-02-112,C-horizon,115.7584,-31.8548,575,600,141627,1462,1452,19,72,NA,469,3.49,0.62,0.62,32.89,0.078,10.77,0.68,29.13,0.73,1.69,NA,0.05,9.96,0.28,6.87,0.59,490.46,1.63,4.36,11.07
616-02-113,A-horizon,115.815,-31.8169,0,50,1256,176,970,8,50,21.96,214,0.47,1.38,13.32,12.28,0.034,2.6,0.22,3.66,0.52,0.09,NA,0.01,1.1,0.11,0.7,0.11,4.72,0.38,2.32,0.6
616-02-113,E-horizon,115.815,-31.8169,250,275,72,39,1175,24,3,NA,523,0.92,0.08,0.77,5.03,NA,2.96,NA,3.86,0.1,0.05,NA,NA,1.73,0.09,1.09,0.11,0.67,0.82,1.75,0.27
616-02-122,E-horizon,115.8871,-31.9117,50,75,111,22,206,7,7,NA,18,0.01,0.57,0.68,4.15,NA,1.51,NA,0.44,0.15,0.04,NA,NA,0.89,0.12,0.58,0.04,0.73,0.38,0.61,0.13
616-02-122,B-horizon,115.8871,-31.9117,275,300,354,72,298,8,8,NA,68,NA,0.2,1.2,3.51,0.001,1.67,0.02,6.55,0.97,0.08,NA,0.01,1.04,0.37,0.64,0.15,2.08,0.75,0.83,0.17
616-02-122,B-horizon,115.8871,-31.9117,800,900,37,17,260,5,3,1.71,109,0.03,0.18,1.92,4,0.003,1.15,0.04,7.58,1.02,0.06,NA,NA,0.67,0.17,0.42,0.1,0.47,0.51,2.18,0.13
616-02-122,E-horizon,115.8871,-31.9117,325,400,38,16,740,27,1,2.35,118,NA,0.06,2.66,3.96,NA,2.31,NA,3.55,0.6,0.1,NA,0.01,1.43,0.08,0.94,0.2,0.42,1.54,2.46,0.24
616-02-127,coffee-rock,115.9243,-31.9026,125,NA,271,94,296,4,25,NA,796,0.49,0.35,1.7,10.39,0.112,7.91,0.22,9.28,1.21,0.66,NA,NA,4.38,0.13,3.39,0.9,1.99,2.33,2.5,1.25
616-02-127,E-horizon,115.9243,-31.9026,275,NA,15,11,396,15,14,NA,39,NA,0.04,0.71,3.69,NA,0.9,NA,2.14,0.85,0.08,NA,0.01,0.59,0.11,0.42,0.08,0.5,0.46,1,0.1
616-02-131,E-horizon,115.8724,-31.9543,50,NA,565,253,5652,24,59,10.78,38,0.72,5.81,23.77,11.52,0.056,4.61,0.67,9.09,3.6,NA,NA,NA,2.46,0.59,1.6,0.56,3.31,1.72,14.26,0.57
616-02-131,E-horizon,115.8724,-31.9543,250,NA,35,15,208,5,2,NA,11,0.05,0.15,0.49,2.3,NA,1.04,NA,1.09,0.45,0.08,NA,NA,0.66,0.02,0.43,0.04,0.39,0.34,0.38,0.11
616-02-131,B-horizon,115.8724,-31.9543,375,NA,325,888,36170,60,13,NA,32,2.65,5.72,8.32,13.2,0.151,20.56,2.55,51.71,19.39,NA,NA,0.04,11.79,0.84,7.3,7.38,3.11,14.1,39.01,1.75
616-02-131,E-horizon,115.8724,-31.9543,450,NA,72,181,1349,7,4,NA,22,0.13,1.32,1.85,6.23,0.027,4.57,0.36,11.76,2.22,0.19,NA,0.02,2.81,0.09,1.56,1.08,0.74,2.67,2.75,0.45
616-02-136,E-horizon,115.9452,-31.971,50,NA,240,67,192,6,7,2.87,37,NA,0.15,1.39,4.41,NA,3.76,NA,0.63,0.31,0.13,NA,NA,2.12,0.1,1.38,0.05,1.3,0.97,0.55,0.18
616-02-136,coffee-rock,115.9452,-31.971,250,NA,777,255,668,12,25,1.58,364,0.49,0.71,14.75,14.98,0.096,16.53,0.32,27.7,4.09,0.74,NA,0.03,9.81,0.27,5.54,0.53,6.45,4.81,4.15,1.05
616-02-145,E-horizon,115.9793,-31.9212,50,NA,16,6,201,2,1,1.05,3,0.14,0.02,0.44,1.47,NA,0.67,0.05,0.78,0.33,NA,NA,NA,0.4,0.13,0.27,0.02,0.16,0.2,0.23,0.06
616-02-145,E-horizon,115.9793,-31.9212,350,NA,19,25,332,3,2,1.37,106,0.2,0.07,2.42,3.09,0.019,3.32,0.03,1.51,0.67,0.12,NA,NA,2.29,0.09,1.21,0.08,0.33,0.91,0.7,0.38
616-02-145,B-horizon,115.9793,-31.9212,450,NA,249,435,51808,36,126,NA,185,17.78,0.38,46.18,32.13,2.813,16.46,7.37,63.13,23.2,NA,NA,NA,7.64,3.01,6.24,6.09,2.63,17.36,456.05,4.8
616-02-145,B-horizon,115.9793,-31.9212,550,NA,82,192,1623,4,13,1.05,308,2.76,0.19,7.85,14.25,0.259,7.78,2.25,16.62,4.36,0.28,NA,0.06,5.76,0.27,2.24,1.08,4.33,4.55,9.13,1.04
616-02-155,E-horizon,115.8263,-32.305,50,NA,17689,716,490,11,6,1.09,102,0.12,0.05,0.53,5.59,0.003,2.05,0.13,2.37,0.4,0.17,NA,0.01,1.26,0.07,0.87,0.13,70.49,0.59,0.97,0.69
616-02-155,E-horizon,115.8263,-32.305,325,NA,297,251,1727,16,4,2.94,579,1.39,0.16,4.37,6.07,0.066,4.83,0.63,9.64,1.81,0.15,NA,0.02,2.52,1.1,1.66,0.81,1.76,2.99,7.88,0.56
616-02-155,B-horizon,115.8263,-32.305,550,NA,1984,2408,18457,48,11,2.2,17,5.9,1.85,8.36,16.23,0.18,18.2,10.77,43.33,10.77,NA,NA,0.03,11.84,1.25,6.13,9.04,9.75,19.77,42.23,3.63
616-02-158,E-horizon,115.8303,-32.3542,75,NA,13,4,73,2,1,1.72,3,0.08,0.02,0.3,0.7,NA,0.27,0.01,0.22,0.11,0.04,NA,0.01,0.18,0.1,0.11,0.01,0.11,0.07,0.14,0.04
616-02-158,coffee-rock,115.8303,-32.3542,250,NA,75,73,2272,12,172,1.16,635,2.32,0.33,6.07,5.92,0.092,4.21,0.22,8.43,4.24,0.23,NA,0.02,2.35,1.64,1.69,0.4,1.39,1.43,14.97,0.67
616-02-158,coffee-rock,115.8303,-32.3542,400,NA,125,208,1042,24,41,2.84,738,0.14,0.24,7.88,11.73,0.001,2.86,0.3,7.76,2.8,0.13,0.01,0.02,1.82,1.5,1.09,0.24,2.5,1.24,3.36,0.29
616-02-174,B-horizon,115.9129,-31.8434,400,NA,380,68,1304,13,42,3.21,191,0.31,1.55,0.93,2.27,0.007,1.11,1.23,11.41,1.53,0.02,NA,NA,0.71,1.08,0.44,0.09,1.75,0.49,0.95,0.2
616-02-179,B-horizon,115.9383,-31.8744,375,400,37,23,315,3,4,1.7,121,0.26,0.09,0.44,3.13,0.008,1.18,0.05,3.31,0.99,0.06,0.01,0.01,0.75,0.11,0.5,0.09,0.57,0.38,1.54,0.17
Ellenbrook,E-horizon,115.9741,-31.791,0,150,16,5,80,2,1,1.45,5,NA,0.02,0.32,1.34,NA,0.42,NA,0.3,0.24,0.02,NA,NA,0.24,0.04,0.16,0.02,0.12,0.19,0.08,0.12
Ellenbrook,coffee-rock,115.9741,-31.791,150,200,295,57,1222,2,42,0.54,447,1.68,NA,5.84,11.26,0.111,7.6,0.5,16.54,4.81,0.67,0.01,0.09,4.09,0.18,3.18,1.37,1.43,3.66,7.99,1.88
Ellenbrook,B-horizon,115.9741,-31.791,500,550,117,32,1498,2,3,1.49,1164,0.15,0.07,1.79,5.4,0.009,1.46,0.34,1.21,0.35,NA,NA,NA,0.95,0.05,0.53,0.09,0.86,0.36,0.57,0.27
LOC50A,A-horizon,NA,NA,10,20,22,26,1802,6,11,1.54,16,0.08,0.17,0.89,2.08,0.015,1.72,0.14,2.63,1.3,0.09,0.04,0.03,0.89,0.22,0.58,0.09,0.65,0.56,3.39,1.62
LOC50A,A-horizon,NA,NA,0,100,31,21,919,5,7,0.18,9,0.01,0.13,0.46,1.98,0.006,1.43,0.09,1.45,0.83,0.07,0.03,NA,0.89,0.21,0.52,0.08,0.64,0.42,2.38,2.35
LOC50A,E-horizon,NA,NA,300,400,15,24,598,15,9,0.53,56,NA,0.18,1.59,2.23,0.011,2.77,0.2,7.65,3.78,0.14,0.06,NA,1.73,0.07,0.99,0.13,0.71,0.95,2.45,1.21
LOC50A,coffee-rock,NA,NA,400,500,12,19,336,11,5,NA,217,NA,1.2,1.14,1.25,0.007,1.87,0.08,7.31,1.67,0.08,0.06,0.02,1.24,0.12,0.69,0.1,0.43,0.81,3.91,0.88
